State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
28,33,2,88101,3,34.82166,-89.98783,WGS84,PM2.5 - Local Conditions,1/1/2019,18:00,1/2/2019,0:00,9.4,Micrograms/cubic meter (LC),0.1,,,FEM,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Mississippi,DeSoto,2/26/2019
28,33,2,88101,3,34.82166,-89.98783,WGS84,PM2.5 - Local Conditions,1/1/2019,19:00,1/2/2019,1:00,10.2,Micrograms/cubic meter (LC),0.1,,,FEM,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Mississippi,DeSoto,2/26/2019
28,33,2,88101,3,34.82166,-89.98783,WGS84,PM2.5 - Local Conditions,1/1/2019,20:00,1/2/2019,2:00,11.1,Micrograms/cubic meter (LC),0.1,,,FEM,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Mississippi,DeSoto,2/26/2019
28,33,2,88101,3,34.82166,-89.98783,WGS84,PM2.5 - Local Conditions,1/1/2019,21:00,1/2/2019,3:00,11.3,Micrograms/cubic meter (LC),0.1,,,FEM,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Mississippi,DeSoto,2/26/2019
28,33,2,88101,3,34.82166,-89.98783,WGS84,PM2.5 - Local Conditions,1/1/2019,22:00,1/2/2019,4:00,9.9,Micrograms/cubic meter (LC),0.1,,,FEM,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Mississippi,DeSoto,2/26/2019
28,33,2,88101,3,34.82166,-89.98783,WGS84,PM2.5 - Local Conditions,1/1/2019,23:00,1/2/2019,5:00,10.1,Micrograms/cubic meter (LC),0.1,,,FEM,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Mississippi,DeSoto,2/26/2019
28,33,2,88101,3,34.82166,-89.98783,WGS84,PM2.5 - Local Conditions,1/2/2019,0:00,1/2/2019,6:00,10,Micrograms/cubic meter (LC),0.1,,,FEM,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Mississippi,DeSoto,2/26/2019
28,33,2,88101,3,34.82166,-89.98783,WGS84,PM2.5 - Local Conditions,1/2/2019,1:00,1/2/2019,7:00,12,Micrograms/cubic meter (LC),0.1,,,FEM,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Mississippi,DeSoto,2/26/2019
28,33,2,88101,3,34.82166,-89.98783,WGS84,PM2.5 - Local Conditions,1/2/2019,2:00,1/2/2019,8:00,13.6,Micrograms/cubic meter (LC),0.1,,,FEM,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Mississippi,DeSoto,2/26/2019
28,33,2,88101,3,34.82166,-89.98783,WGS84,PM2.5 - Local Conditions,1/2/2019,3:00,1/2/2019,9:00,14.3,Micrograms/cubic meter (LC),0.1,,,FEM,236,Teledyne T640 at 5.0 LPM - Broadband spectroscopy,Mississippi,DeSoto,2/26/2019
